userid,itemid,rating,age,gender,occupation,zip,movietitle,releasedate
90,382,5,60,M,educator,78155,"Adventures of Priscilla, Queen of the Desert, The (1994)",01/01/1994
166,328,5,47,M,educator,55113,Conspiracy Theory (1997),08/08/1997
271,132,5,51,M,engineer,22932,"Wizard of Oz, The (1939)",01/01/1939
160,174,5,27,M,programmer,66215,Raiders of the Lost Ark (1981),01/01/1981
42,96,5,30,M,administrator,17870,Terminator 2: Judgment Day (1991),01/01/1991
168,151,5,48,M,other,80127,Willy Wonka and the Chocolate Factory (1971),01/01/1971
44,195,5,26,M,technician,46260,"Terminator, The (1984)",01/01/1984
264,200,5,36,F,writer,90064,"Shining, The (1980)",01/01/1980
72,195,5,48,F,administrator,73034,"Terminator, The (1984)",01/01/1984
222,750,5,29,M,programmer,27502,Amistad (1997),18/12/1997
59,23,5,49,M,educator,8403,Taxi Driver (1976),16/02/1996
286,379,5,27,M,student,15217,Tales From the Crypt Presents: Demon Knight (1995),01/01/1995
305,427,5,23,M,programmer,94086,To Kill a Mockingbird (1962),01/01/1962
213,273,5,33,M,executive,55345,Heat (1995),01/01/1995
90,98,5,60,M,educator,78155,"Silence of the Lambs, The (1991)",01/01/1991
80,466,5,34,F,administrator,52241,Red Rock West (1992),01/01/1992
200,673,5,40,M,programmer,93402,Cape Fear (1962),01/01/1962
213,172,5,33,M,executive,55345,"Empire Strikes Back, The (1980)",01/01/1980
292,174,5,35,F,programmer,94703,Raiders of the Lost Ark (1981),01/01/1981
232,483,5,45,M,scientist,99709,Casablanca (1942),01/01/1942
161,202,5,50,M,lawyer,55104,Groundhog Day (1993),01/01/1993
148,408,5,33,M,engineer,97006,"Close Shave, A (1995)",28/04/1996
97,228,5,43,M,artist,98006,Star Trek: The Wrath of Khan (1982),01/01/1982
272,178,5,33,M,scientist,53706,12 Angry Men (1957),01/01/1957
151,10,5,38,F,administrator,48103,Richard III (1995),22/01/1996
6,14,5,42,M,executive,98101,"Postino, Il (1994)",01/01/1994
303,69,5,19,M,student,14853,Forrest Gump (1994),01/01/1994
200,318,5,40,M,programmer,93402,Schindler's List (1993),01/01/1993
36,339,5,19,F,student,93117,Mad City (1997),01/01/1997
119,237,5,32,M,programmer,67401,Jerry Maguire (1996),13/12/1996
295,218,5,31,M,educator,50325,Cape Fear (1991),01/01/1991
233,202,5,38,M,engineer,98682,Groundhog Day (1993),01/01/1993
307,89,5,25,M,student,55454,Blade Runner (1982),01/01/1982
38,153,5,28,F,other,54467,"Fish Called Wanda, A (1988)",01/01/1988
113,595,5,47,M,executive,95032,"Fan, The (1996)",16/08/1996
292,11,5,35,F,programmer,94703,Seven (Se7en) (1995),01/01/1995
189,520,5,32,M,artist,95014,"Great Escape, The (1963)",01/01/1963
218,209,5,37,M,administrator,6513,This Is Spinal Tap (1984),01/01/1984
119,222,5,32,M,programmer,67401,Star Trek: First Contact (1996),22/11/1996
301,79,5,24,M,student,55439,"Fugitive, The (1993)",01/01/1993
145,237,5,31,M,entertainment,V3N4P,Jerry Maguire (1996),13/12/1996
296,705,5,43,F,administrator,16803,Singin' in the Rain (1952),01/01/1952
16,64,5,21,M,entertainment,10309,"Shawshank Redemption, The (1994)",01/01/1994
77,484,5,30,M,technician,29379,"Maltese Falcon, The (1941)",01/01/1941
296,508,5,43,F,administrator,16803,"People vs. Larry Flynt, The (1996)",27/12/1996
13,215,5,47,M,educator,29206,Field of Dreams (1989),01/01/1989
16,705,5,21,M,entertainment,10309,Singin' in the Rain (1952),01/01/1952
187,64,5,26,M,educator,16801,"Shawshank Redemption, The (1994)",01/01/1994
200,304,5,40,M,programmer,93402,Fly Away Home (1996),13/09/1996
170,749,5,53,F,healthcare,30067,"MatchMaker, The (1997)",01/01/1997
184,321,5,37,M,librarian,76013,Mother (1996),25/12/1996
303,134,5,19,M,student,14853,Citizen Kane (1941),01/01/1941
69,256,5,24,M,engineer,55337,When the Cats Away (Chacun cherche son chat) (1996),20/06/1997
13,56,5,47,M,educator,29206,Pulp Fiction (1994),01/01/1994
294,271,5,34,M,technician,92110,Starship Troopers (1997),01/01/1997
200,96,5,40,M,programmer,93402,Terminator 2: Judgment Day (1991),01/01/1991
16,197,5,21,M,entertainment,10309,"Graduate, The (1967)",01/01/1967
142,169,5,13,M,other,48118,"Wrong Trousers, The (1993)",01/01/1993
21,558,5,26,M,writer,30068,Heavenly Creatures (1994),01/01/1994
197,96,5,55,M,technician,75094,Terminator 2: Judgment Day (1991),01/01/1991
269,522,5,31,F,librarian,43201,Down by Law (1986),01/01/1986
272,12,5,33,M,scientist,53706,"Usual Suspects, The (1995)",14/08/1995
296,20,5,43,F,administrator,16803,Angels and Insects (1995),01/01/1995
180,462,5,22,F,administrator,60202,Like Water For Chocolate (Como agua para chocolate) (1992),01/01/1992
256,781,5,35,F,none,39042,French Kiss (1995),01/01/1995
263,176,5,41,M,programmer,55346,Aliens (1986),01/01/1986
151,197,5,38,F,administrator,48103,"Graduate, The (1967)",01/01/1967
293,135,5,24,M,writer,60804,2001: A Space Odyssey (1968),01/01/1968
213,173,5,33,M,executive,55345,"Princess Bride, The (1987)",01/01/1987
59,715,5,49,M,educator,8403,To Die For (1995),01/01/1995
125,163,5,30,M,lawyer,22202,"Return of the Pink Panther, The (1974)",01/01/1974
174,315,5,30,F,administrator,52302,Apt Pupil (1998),23/10/1998
60,60,5,50,M,healthcare,6472,Three Colors: Blue (1993),01/01/1993
287,1,5,21,M,salesman,31211,Toy Story (1995),01/01/1995
286,288,5,27,M,student,15217,Scream (1996),20/12/1996
250,596,5,29,M,executive,95110,"Hunchback of Notre Dame, The (1996)",21/06/1996
137,144,5,50,M,educator,84408,Die Hard (1988),01/01/1988
189,1060,5,32,M,artist,95014,"Adventures of Pinocchio, The (1996)",26/07/1996
269,246,5,31,F,librarian,43201,Chasing Amy (1997),01/01/1997
263,419,5,41,M,programmer,55346,Mary Poppins (1964),01/01/1964
72,182,5,48,F,administrator,73034,GoodFellas (1990),01/01/1990
290,50,5,40,M,engineer,93550,Star Wars (1977),01/01/1977
200,365,5,40,M,programmer,93402,Powder (1995),01/01/1995
54,742,5,22,M,executive,66315,Ransom (1996),08/11/1996
264,721,5,36,F,writer,90064,Mallrats (1995),01/01/1995
10,611,5,53,M,lawyer,90703,Laura (1944),01/01/1944
128,603,5,24,F,marketing,20009,Rear Window (1954),01/01/1954
119,382,5,32,M,programmer,67401,"Adventures of Priscilla, Queen of the Desert, The (1994)",01/01/1994
56,121,5,25,M,librarian,46260,Independence Day (ID4) (1996),03/07/1996
308,81,5,60,M,retired,95076,"Hudsucker Proxy, The (1994)",01/01/1994
230,742,5,28,F,student,14476,Ransom (1996),08/11/1996
239,1099,5,39,M,artist,95628,"Red Firecracker, Green Firecracker (1994)",01/01/1994
245,1028,5,22,M,student,55109,Grumpier Old Men (1995),01/01/1995
295,961,5,31,M,educator,50325,Orlando (1993),01/01/1993
6,98,5,42,M,executive,98101,"Silence of the Lambs, The (1991)",01/01/1991
118,200,5,21,M,administrator,90210,"Shining, The (1980)",01/01/1980
283,1114,5,28,M,programmer,55305,Faithful (1996),03/04/1996
10,100,5,53,M,lawyer,90703,Fargo (1996),14/02/1997
189,56,5,32,M,artist,95014,Pulp Fiction (1994),01/01/1994
226,242,5,28,M,student,92103,Kolya (1996),24/01/1997
280,631,5,30,F,librarian,22903,"Crying Game, The (1992)",01/01/1992
60,430,5,50,M,healthcare,6472,Duck Soup (1933),01/01/1933
42,274,5,30,M,administrator,17870,Sabrina (1995),01/01/1995
1,202,5,24,M,technician,85711,Groundhog Day (1993),01/01/1993
97,222,5,43,M,artist,98006,Star Trek: First Contact (1996),22/11/1996
117,268,5,20,M,student,16125,Chasing Amy (1997),01/01/1997
42,588,5,30,M,administrator,17870,Beauty and the Beast (1991),01/01/1991
292,661,5,35,F,programmer,94703,High Noon (1952),01/01/1952
274,845,5,20,F,student,55414,That Thing You Do! (1996),28/09/1996
188,692,5,42,M,student,29440,"American President, The (1995)",01/01/1995
90,1198,5,60,M,educator,78155,Purple Noon (1960),28/06/1960
22,128,5,25,M,writer,40206,Supercop (1992),26/07/1996
8,22,5,36,M,administrator,5201,Braveheart (1995),16/02/1996
222,173,5,29,M,programmer,27502,"Princess Bride, The (1987)",01/01/1987
1,171,5,24,M,technician,85711,Delicatessen (1991),01/01/1991
200,11,5,40,M,programmer,93402,Seven (Se7en) (1995),01/01/1995
90,25,5,60,M,educator,78155,"Birdcage, The (1996)",08/03/1996
208,216,5,43,M,engineer,1720,When Harry Met Sally... (1989),01/01/1989
286,153,5,27,M,student,15217,"Fish Called Wanda, A (1988)",01/01/1988
7,492,5,57,M,administrator,91344,East of Eden (1955),01/01/1955
16,55,5,21,M,entertainment,10309,"Professional, The (1994)",01/01/1994
239,1070,5,39,M,artist,95628,Living in Oblivion (1995),01/01/1995
56,449,5,25,M,librarian,46260,Star Trek: The Motion Picture (1979),01/01/1979
308,187,5,60,M,retired,95076,"Godfather: Part II, The (1974)",01/01/1974
276,64,5,21,M,student,95064,"Shawshank Redemption, The (1994)",01/01/1994
159,1028,5,23,F,student,55346,Grumpier Old Men (1995),01/01/1995
276,181,5,21,M,student,95064,Return of the Jedi (1983),14/03/1997
13,823,5,47,M,educator,29206,Mulholland Falls (1996),26/04/1996
189,20,5,32,M,artist,95014,Angels and Insects (1995),01/01/1995
146,1022,5,45,M,artist,83814,"Fast, Cheap & Out of Control (1997)",01/01/1997
291,686,5,19,M,student,44106,"Perfect World, A (1993)",01/01/1993
236,57,5,44,F,writer,53214,Priest (1994),01/01/1994
232,52,5,45,M,scientist,99709,"Madness of King George, The (1994)",01/01/1994
168,866,5,48,M,other,80127,Michael (1996),25/12/1996
90,506,5,60,M,educator,78155,Rebel Without a Cause (1955),01/01/1955
186,566,5,39,F,executive,0,Clear and Present Danger (1994),01/01/1994
44,660,5,26,M,technician,46260,Fried Green Tomatoes (1991),01/01/1991
118,774,5,21,M,administrator,90210,"Prophecy, The (1995)",01/01/1995
7,661,5,57,M,administrator,91344,High Noon (1952),01/01/1952
77,474,5,30,M,technician,29379,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),01/01/1963
207,318,5,39,M,marketing,92037,Schindler's List (1993),01/01/1993
7,648,5,57,M,administrator,91344,"Quiet Man, The (1952)",01/01/1952
87,82,5,47,M,administrator,89503,Jurassic Park (1993),01/01/1993
44,449,5,26,M,technician,46260,Star Trek: The Motion Picture (1979),01/01/1979
230,304,5,28,F,student,14476,Fly Away Home (1996),13/09/1996
92,121,5,32,M,entertainment,80525,Independence Day (ID4) (1996),03/07/1996
44,443,5,26,M,technician,46260,"Birds, The (1963)",01/01/1963
270,25,5,18,F,student,63119,"Birdcage, The (1996)",08/03/1996
239,272,5,39,M,artist,95628,Good Will Hunting (1997),01/01/1997
216,55,5,22,M,engineer,2215,"Professional, The (1994)",01/01/1994
188,143,5,42,M,student,29440,"Sound of Music, The (1965)",01/01/1965
7,378,5,57,M,administrator,91344,Miracle on 34th Street (1994),01/01/1994
59,92,5,49,M,educator,8403,True Romance (1993),01/01/1993
69,268,5,24,M,engineer,55337,Chasing Amy (1997),01/01/1997
7,200,5,57,M,administrator,91344,"Shining, The (1980)",01/01/1980
113,126,5,47,M,executive,95032,"Spitfire Grill, The (1996)",06/09/1996
173,328,5,56,M,other,22306,Conspiracy Theory (1997),08/08/1997
16,194,5,21,M,entertainment,10309,"Sting, The (1973)",01/01/1973
235,70,5,37,M,educator,22973,Four Weddings and a Funeral (1994),01/01/1994
125,190,5,30,M,lawyer,22202,Henry V (1989),01/01/1989
303,161,5,19,M,student,14853,Top Gun (1986),01/01/1986
90,923,5,60,M,educator,78155,Raise the Red Lantern (1991),01/01/1991
297,57,5,29,F,educator,98103,Priest (1994),01/01/1994
21,447,5,26,M,writer,30068,Carrie (1976),01/01/1976
18,408,5,35,F,other,37212,"Close Shave, A (1995)",28/04/1996
270,98,5,18,F,student,63119,"Silence of the Lambs, The (1991)",01/01/1991
68,237,5,19,M,student,22904,Jerry Maguire (1996),13/12/1996
89,216,5,43,F,administrator,68106,When Harry Met Sally... (1989),01/01/1989
286,175,5,27,M,student,15217,Brazil (1985),01/01/1985
256,86,5,35,F,none,39042,"Remains of the Day, The (1993)",01/01/1993
221,48,5,19,M,student,20685,Hoop Dreams (1994),01/01/1994
201,203,5,27,M,writer,E2A4H,Unforgiven (1992),01/01/1992
150,181,5,20,F,artist,2139,Return of the Jedi (1983),14/03/1997
174,937,5,30,F,administrator,52302,"Thousand Acres, A (1997)",01/01/1997
99,1016,5,20,M,student,63129,Con Air (1997),06/06/1997
2,251,5,53,F,other,94043,Shall We Dance? (1996),11/07/1997
83,281,5,40,M,other,44133,"River Wild, The (1994)",01/01/1994
222,53,5,29,M,programmer,27502,Natural Born Killers (1994),01/01/1994
24,64,5,21,F,artist,94533,"Shawshank Redemption, The (1994)",01/01/1994
279,741,5,33,M,programmer,85251,"Last Supper, The (1995)",05/04/1996
16,8,5,21,M,entertainment,10309,Babe (1995),01/01/1995
145,56,5,31,M,entertainment,V3N4P,Pulp Fiction (1994),01/01/1994
21,164,5,26,M,writer,30068,"Abyss, The (1989)",01/01/1989
239,491,5,39,M,artist,95628,"Adventures of Robin Hood, The (1938)",01/01/1938
185,287,5,53,F,librarian,97403,Marvin's Room (1996),18/12/1996
239,194,5,39,M,artist,95628,"Sting, The (1973)",01/01/1973
197,511,5,55,M,technician,75094,Lawrence of Arabia (1962),01/01/1962
239,513,5,39,M,artist,95628,"Third Man, The (1949)",01/01/1949
208,663,5,43,M,engineer,1720,Being There (1979),01/01/1979
62,182,5,27,F,administrator,97214,GoodFellas (1990),01/01/1990
174,660,5,30,F,administrator,52302,Fried Green Tomatoes (1991),01/01/1991
90,12,5,60,M,educator,78155,"Usual Suspects, The (1995)",14/08/1995
283,432,5,28,M,programmer,55305,Fantasia (1940),01/01/1940
311,98,5,32,M,technician,73071,"Silence of the Lambs, The (1991)",01/01/1991
286,73,5,27,M,student,15217,Maverick (1994),01/01/1994
56,222,5,25,M,librarian,46260,Star Trek: First Contact (1996),22/11/1996
210,204,5,39,M,engineer,3060,Back to the Future (1985),01/01/1985
239,9,5,39,M,artist,95628,Dead Man Walking (1995),01/01/1995
152,685,5,33,F,educator,68767,Executive Decision (1996),09/03/1996
24,191,5,21,F,artist,94533,Amadeus (1984),01/01/1984
13,181,5,47,M,educator,29206,Return of the Jedi (1983),14/03/1997
2,50,5,53,F,other,94043,Star Wars (1977),01/01/1977
14,213,5,45,M,scientist,55106,"Room with a View, A (1986)",01/01/1986
57,79,5,16,M,none,84010,"Fugitive, The (1993)",01/01/1993
230,963,5,28,F,student,14476,Some Folks Call It a Sling Blade (1993),01/01/1993
297,275,5,29,F,educator,98103,Sense and Sensibility (1995),01/01/1995
8,50,5,36,M,administrator,5201,Star Wars (1977),01/01/1977
175,127,5,26,F,scientist,21911,"Godfather, The (1972)",01/01/1972
7,644,5,57,M,administrator,91344,"Thin Blue Line, The (1988)",01/01/1988
276,419,5,21,M,student,95064,Mary Poppins (1964),01/01/1964
83,210,5,40,M,other,44133,Indiana Jones and the Last Crusade (1989),01/01/1989
313,616,5,41,M,marketing,60035,Night of the Living Dead (1968),01/01/1968
279,168,5,33,M,programmer,85251,Monty Python and the Holy Grail (1974),01/01/1974
276,474,5,21,M,student,95064,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),01/01/1963
63,100,5,31,M,marketing,75240,Fargo (1996),14/02/1997
16,178,5,21,M,entertainment,10309,12 Angry Men (1957),01/01/1957
90,945,5,60,M,educator,78155,Charade (1963),01/01/1963
274,50,5,20,F,student,55414,Star Wars (1977),01/01/1977
296,222,5,43,F,administrator,16803,Star Trek: First Contact (1996),22/11/1996
286,85,5,27,M,student,15217,"Ref, The (1994)",01/01/1994
7,451,5,57,M,administrator,91344,Grease (1978),01/01/1978
66,181,5,23,M,student,80521,Return of the Jedi (1983),14/03/1997
206,302,5,14,F,student,53115,L.A. Confidential (1997),01/01/1997
222,22,5,29,M,programmer,27502,Braveheart (1995),16/02/1996
314,28,5,20,F,student,8043,Apollo 13 (1995),01/01/1995
270,558,5,18,F,student,63119,Heavenly Creatures (1994),01/01/1994
248,117,5,25,M,student,37235,"Rock, The (1996)",07/06/1996
125,318,5,30,M,lawyer,22202,Schindler's List (1993),01/01/1993
138,523,5,46,M,doctor,53211,Cool Hand Luke (1967),01/01/1967
291,15,5,19,M,student,44106,Mr. Holland's Opus (1995),29/01/1996
239,96,5,39,M,artist,95628,Terminator 2: Judgment Day (1991),01/01/1991
10,488,5,53,M,lawyer,90703,Sunset Blvd. (1950),01/01/1950
23,258,5,30,F,artist,48197,Contact (1997),11/07/1997
118,654,5,21,M,administrator,90210,Chinatown (1974),01/01/1974
262,64,5,19,F,student,78264,"Shawshank Redemption, The (1994)",01/01/1994
174,402,5,30,F,administrator,52302,Ghost (1990),01/01/1990
256,487,5,35,F,none,39042,Roman Holiday (1953),01/01/1953
285,150,5,25,M,programmer,53713,Swingers (1996),18/10/1996
97,670,5,43,M,artist,98006,Body Snatchers (1993),01/01/1993
37,403,5,23,M,student,55105,Batman (1989),01/01/1989
165,372,5,20,F,other,53715,Jeffrey (1995),01/01/1995
176,324,5,28,M,scientist,7030,Lost Highway (1997),21/02/1997
117,181,5,20,M,student,16125,Return of the Jedi (1983),14/03/1997
19,435,5,40,M,librarian,2138,Butch Cassidy and the Sundance Kid (1969),01/01/1969
188,96,5,42,M,student,29440,Terminator 2: Judgment Day (1991),01/01/1991
58,173,5,27,M,programmer,52246,"Princess Bride, The (1987)",01/01/1987
244,154,5,28,M,technician,80525,Monty Python's Life of Brian (1979),01/01/1979
16,209,5,21,M,entertainment,10309,This Is Spinal Tap (1984),01/01/1984
151,835,5,38,F,administrator,48103,"Gay Divorcee, The (1934)",01/01/1934
200,588,5,40,M,programmer,93402,Beauty and the Beast (1991),01/01/1991
312,133,5,48,M,other,2110,Gone with the Wind (1939),01/01/1939
151,12,5,38,F,administrator,48103,"Usual Suspects, The (1995)",14/08/1995
305,483,5,23,M,programmer,94086,Casablanca (1942),01/01/1942
141,258,5,49,M,programmer,36117,Contact (1997),11/07/1997
94,651,5,26,M,student,71457,Glory (1989),01/01/1989
14,174,5,45,M,scientist,55106,Raiders of the Lost Ark (1981),01/01/1981
296,429,5,43,F,administrator,16803,"Day the Earth Stood Still, The (1951)",01/01/1951
13,868,5,47,M,educator,29206,Hearts and Minds (1996),10/01/1997
87,210,5,47,M,administrator,89503,Indiana Jones and the Last Crusade (1989),01/01/1989
10,285,5,53,M,lawyer,90703,Secrets & Lies (1996),04/10/1996
216,174,5,22,M,engineer,2215,Raiders of the Lost Ark (1981),01/01/1981
4,303,5,24,M,technician,43537,Ulee's Gold (1997),01/01/1997
276,357,5,21,M,student,95064,One Flew Over the Cuckoo's Nest (1975),01/01/1975
62,433,5,27,F,administrator,97214,Heathers (1989),01/01/1989
239,475,5,39,M,artist,95628,Trainspotting (1996),19/07/1996
130,234,5,20,M,none,60115,Jaws (1975),01/01/1975
208,197,5,43,M,engineer,1720,"Graduate, The (1967)",01/01/1967
24,763,5,21,F,artist,94533,Happy Gilmore (1996),16/02/1996
160,160,5,27,M,programmer,66215,Glengarry Glen Ross (1992),01/01/1992
54,676,5,22,M,executive,66315,"Crucible, The (1996)",27/11/1996
210,97,5,39,M,engineer,3060,Dances with Wolves (1990),01/01/1990
58,709,5,27,M,programmer,52246,Strictly Ballroom (1992),01/01/1992
152,111,5,33,F,educator,68767,"Truth About Cats & Dogs, The (1996)",26/04/1996
1,253,5,24,M,technician,85711,"Pillow Book, The (1995)",13/06/1997
87,177,5,47,M,administrator,89503,"Good, The Bad and The Ugly, The (1966)",01/01/1966
125,134,5,30,M,lawyer,22202,Citizen Kane (1941),01/01/1941
291,428,5,19,M,student,44106,Harold and Maude (1971),01/01/1971
288,272,5,34,M,marketing,23226,Good Will Hunting (1997),01/01/1997
274,748,5,20,F,student,55414,"Saint, The (1997)",14/03/1997
70,419,5,27,M,engineer,60067,Mary Poppins (1964),01/01/1964
151,919,5,38,F,administrator,48103,"City of Lost Children, The (1995)",01/01/1995
199,268,5,30,M,writer,17604,Chasing Amy (1997),01/01/1997
38,161,5,28,F,other,54467,Top Gun (1986),01/01/1986
121,14,5,54,M,librarian,99603,"Postino, Il (1994)",01/01/1994
210,527,5,39,M,engineer,3060,Gandhi (1982),01/01/1982
312,573,5,48,M,other,2110,Body Snatchers (1993),01/01/1993
117,15,5,20,M,student,16125,Mr. Holland's Opus (1995),29/01/1996
64,516,5,32,M,educator,43202,Local Hero (1983),01/01/1983
85,187,5,51,M,educator,20003,"Godfather: Part II, The (1974)",01/01/1974
216,196,5,22,M,engineer,2215,Dead Poets Society (1989),01/01/1989
144,153,5,53,M,programmer,20910,"Fish Called Wanda, A (1988)",01/01/1988
210,274,5,39,M,engineer,3060,Sabrina (1995),01/01/1995
1,113,5,24,M,technician,85711,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",19/04/1996
6,492,5,42,M,executive,98101,East of Eden (1955),01/01/1955
279,746,5,33,M,programmer,85251,Real Genius (1985),01/01/1985
310,116,5,37,M,educator,91711,Cold Comfort Farm (1995),23/04/1996
13,121,5,47,M,educator,29206,Independence Day (ID4) (1996),03/07/1996
280,127,5,30,F,librarian,22903,"Godfather, The (1972)",01/01/1972
11,723,5,39,F,other,30329,Boys on the Side (1995),01/01/1995
184,514,5,37,M,librarian,76013,Annie Hall (1977),01/01/1977
22,258,5,25,M,writer,40206,Contact (1997),11/07/1997
60,208,5,50,M,healthcare,6472,Young Frankenstein (1974),01/01/1974
270,778,5,18,F,student,63119,Don Juan DeMarco (1995),01/01/1995
200,478,5,40,M,programmer,93402,"Philadelphia Story, The (1940)",01/01/1940
63,1007,5,31,M,marketing,75240,Waiting for Guffman (1996),31/01/1997
156,641,5,25,M,educator,8360,Paths of Glory (1957),01/01/1957
160,430,5,27,M,programmer,66215,Duck Soup (1933),01/01/1933
45,109,5,29,M,programmer,50233,Mystery Science Theater 3000: The Movie (1996),19/04/1996
272,1101,5,33,M,scientist,53706,Six Degrees of Separation (1993),01/01/1993
184,86,5,37,M,librarian,76013,"Remains of the Day, The (1993)",01/01/1993
285,151,5,25,M,programmer,53713,Willy Wonka and the Chocolate Factory (1971),01/01/1971
271,187,5,51,M,engineer,22932,"Godfather: Part II, The (1974)",01/01/1974
94,211,5,26,M,student,71457,M*A*S*H (1970),01/01/1970
246,425,5,19,M,student,28734,Bob Roberts (1992),01/01/1992
115,8,5,31,M,engineer,17110,Babe (1995),01/01/1995
95,1,5,31,M,administrator,10707,Toy Story (1995),01/01/1995
147,904,5,40,F,librarian,2143,Ma vie en rose (My Life in Pink) (1997),26/12/1997
72,427,5,48,F,administrator,73034,To Kill a Mockingbird (1962),01/01/1962
263,416,5,41,M,programmer,55346,Old Yeller (1957),01/01/1957
145,22,5,31,M,entertainment,V3N4P,Braveheart (1995),16/02/1996
71,89,5,39,M,scientist,98034,Blade Runner (1982),01/01/1982
182,69,5,36,M,programmer,33884,Forrest Gump (1994),01/01/1994
151,485,5,38,F,administrator,48103,My Fair Lady (1964),01/01/1964
109,258,5,29,M,other,55423,Contact (1997),11/07/1997
151,372,5,38,F,administrator,48103,Jeffrey (1995),01/01/1995
282,327,5,22,M,administrator,20057,Cop Land (1997),01/01/1997
304,237,5,22,F,student,71701,Jerry Maguire (1996),13/12/1996
18,113,5,35,F,other,37212,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",19/04/1996
83,82,5,40,M,other,44133,Jurassic Park (1993),01/01/1993
90,499,5,60,M,educator,78155,Cat on a Hot Tin Roof (1958),01/01/1958
87,196,5,47,M,administrator,89503,Dead Poets Society (1989),01/01/1989
92,176,5,32,M,entertainment,80525,Aliens (1986),01/01/1986
164,685,5,47,M,healthcare,80123,Executive Decision (1996),09/03/1996
92,180,5,32,M,entertainment,80525,Apocalypse Now (1979),01/01/1979
73,657,5,24,M,student,41850,"Manchurian Candidate, The (1962)",01/01/1962
158,770,5,50,M,educator,27606,Devil in a Blue Dress (1995),01/01/1995
90,507,5,60,M,educator,78155,"Streetcar Named Desire, A (1951)",01/01/1951
271,482,5,51,M,engineer,22932,Some Like It Hot (1959),01/01/1959
170,292,5,53,F,healthcare,30067,Rosewood (1997),21/02/1997
60,1021,5,50,M,healthcare,6472,8 1/2 (1963),01/01/1963
38,679,5,28,F,other,54467,Conan the Barbarian (1981),01/01/1981
316,98,5,43,F,other,77009,"Silence of the Lambs, The (1991)",01/01/1991
25,25,5,39,M,engineer,55107,"Birdcage, The (1996)",08/03/1996
287,294,5,21,M,salesman,31211,Liar Liar (1997),21/03/1997
49,47,5,23,F,student,76111,Ed Wood (1994),01/01/1994
296,855,5,43,F,administrator,16803,Diva (1981),01/01/1981
145,1245,5,31,M,entertainment,V3N4P,Gridlock'd (1997),29/01/1997
145,448,5,31,M,entertainment,V3N4P,"Omen, The (1976)",01/01/1976
118,475,5,21,M,administrator,90210,Trainspotting (1996),19/07/1996
119,718,5,32,M,programmer,67401,In the Bleak Midwinter (1995),23/02/1996
99,50,5,20,M,student,63129,Star Wars (1977),01/01/1977
306,14,5,45,M,other,73132,"Postino, Il (1994)",01/01/1994
227,295,5,46,M,executive,60659,Breakdown (1997),02/05/1997
16,56,5,21,M,entertainment,10309,Pulp Fiction (1994),01/01/1994
62,132,5,27,F,administrator,97214,"Wizard of Oz, The (1939)",01/01/1939
240,313,5,23,F,educator,20784,Titanic (1997),01/01/1997
291,7,5,19,M,student,44106,Twelve Monkeys (1995),01/01/1995
31,484,5,24,M,artist,10003,"Maltese Falcon, The (1941)",01/01/1941
56,172,5,25,M,librarian,46260,"Empire Strikes Back, The (1980)",01/01/1980
